,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023
,00,Site Clearance of Hazardous or Obstructing Existing Conditions Prior to Prime Contract,"70,834.00","70,834.00","70,834.00","70,834.00","70,834.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"70,834.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,00.008,Removal and Disposal of Contaminated Soils,"70,834.00","70,834.00","70,834.00","70,834.00","70,834.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"70,834.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,01,Building Construction & Site Cost Inside Five Feet of Building Perimeter,"80,353.99","80,244.87","80,353.99","78,959.07","78,959.07",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,123.19",0.00,0.00,"3,175.04",0.00,0.00,"4,211.78","4,764.45","3,056.08",570.61,"10,029.25","2,682.62","8,248.41",526.61,0.00,"1,359.39","5,757.10",0.00,719.00,0.00,614.40,755.58,0.00,"1,482.17",0.00,0.00,73.82,676.34,"1,096.86",359.17,"4,485.66",412.53,"13,167.65",0.00,"3,043.29","5,792.00",0.00,0.00,0.00,0.00,776.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.108,Facilites Management/Engineering Work Orders,"61,066.49","61,041.49","61,066.49","61,016.49","61,016.49",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,123.19",0.00,0.00,"3,175.04",0.00,0.00,"4,211.78","4,764.45","3,056.08",570.61,"10,029.25","1,966.74",328.41,526.61,0.00,302.89,"5,757.10",0.00,0.00,0.00,614.40,755.58,0.00,"1,482.17",0.00,0.00,73.82,196.86,"1,096.86",359.17,"4,485.66",412.53,"11,907.93",0.00,"3,043.29",0.00,0.00,0.00,0.00,0.00,776.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.109,Telecommunications (ACT),"3,800.00","3,715.88","3,800.00","2,455.08","2,455.08",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,715.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,479.48,0.00,0.00,0.00,0.00,"1,259.72",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.112,Builders Risk Insurance,"7,920.00","7,920.00","7,920.00","7,920.00","7,920.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,920.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.114,"Security Alarms, Video Security, Security Manpower","7,567.50","7,567.50","7,567.50","7,567.50","7,567.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,056.50",0.00,0.00,719.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,792.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,02,"Exterior Utility Work, Outside Five Feet of Building Perimeter","21,518.00","21,518.00","21,518.00","16,150.00","16,150.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,225.00","1,925.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,000.00",0.00
 ,02.299,Other Exterior Utilities,"21,518.00","21,518.00","21,518.00","16,150.00","16,150.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,225.00","1,925.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,000.00",0.00
,04,"Site Development, Outside Five Feet of Building Perimeter","17,328,469.00","17,326,430.00","17,328,469.00","17,303,469.00","17,303,469.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"546,303.00",0.00,"3,685,457.41","737,733.11","238,530.27","176,761.00","105,390.71","248,700.44","46,675.08","509,913.12","465,434.84","458,581.33","348,389.94","179,934.39","15,808.00","107,642.26","87,979.47","197,065.49","580,660.33","581,870.43","789,233.91","1,272,168.96","949,282.99","1,037,137.33","1,234,172.89","625,086.08","330,994.85",0.00,"104,339.26","254,015.65","165,044.78",0.00,"290,785.70","348,421.34","495,145.80","26,983.92",0.00,"61,824.92",0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,04.405,"Prime General Contractor, Other Site Development Component","17,303,469.00","17,303,469.00","17,303,469.00","17,303,469.00","17,303,469.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"546,303.00",0.00,"3,685,457.41","737,733.11","238,530.27","176,761.00","105,390.71","248,700.44","46,675.08","509,913.12","465,434.84","458,581.33","348,389.94","179,934.39","15,808.00","107,642.26","87,979.47","197,065.49","580,660.33","581,870.43","789,233.91","1,272,168.96","949,282.99","1,037,137.33","1,234,172.89","625,086.08","330,994.85",0.00,"104,339.26","254,015.65","165,044.78",0.00,"290,785.70","348,421.34","495,145.80","26,983.92",0.00,"61,824.92",0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,04.406,Other Site Development/Specialty Contractors NOT Under Prime,"25,000.00","22,961.00","25,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,05,External Design Consultant Fees,"1,185,770.00","1,185,170.00","1,185,770.00","1,181,803.65","1,181,803.65",0.00,0.00,0.00,0.00,0.00,"28,687.50","21,311.75",0.00,"30,625.00","9,375.75",0.00,"59,091.53","42,428.47","4,625.00","6,050.00","77,763.00","5,400.00","9,875.00","68,666.99","18,455.00",0.00,"215,186.91","177,635.50","8,671.25","29,768.75","17,685.75","81,606.25","13,643.75","6,756.25","17,290.00","5,600.00","58,667.50","3,605.00","1,500.00","6,771.25",50.00,0.00,"5,905.50","1,600.00","26,000.00","1,225.00","10,518.75","1,743.75","15,556.25","11,731.25","5,415.63","3,422.50",0.00,"30,034.38","11,508.38","6,109.11",0.00,0.00,790.00,0.00,0.00,"2,700.00",0.00,0.00,"6,556.25",0.00,"12,700.00",0.00,0.00,"1,493.75",0.00,0.00,0.00,0.00,0.00
 ,05.501,Executive Architect/Engineer,"1,141,770.00","1,141,170.00","1,141,770.00","1,141,169.25","1,141,169.25",0.00,0.00,0.00,0.00,0.00,"28,687.50","21,311.75",0.00,"30,625.00","9,375.75",0.00,"59,091.53","42,428.47",0.00,300.00,"74,905.00","5,400.00",0.00,"65,515.00","13,580.00",0.00,"211,732.50","177,635.50","7,796.25","29,018.75","17,060.75","81,606.25","13,643.75","6,756.25","17,290.00","5,600.00","58,667.50","3,605.00",0.00,"6,771.25",50.00,0.00,"5,905.50","1,600.00","26,000.00","1,225.00","10,518.75","1,743.75","15,556.25","11,731.25","5,415.63","3,422.50",0.00,"27,739.38","11,508.38","6,109.11",0.00,0.00,790.00,0.00,0.00,"2,700.00",0.00,0.00,"6,556.25",0.00,"12,700.00",0.00,0.00,"1,493.75",0.00,0.00,0.00,0.00,0.00
 ,05.506,Project Management Consultants,"30,000.00","30,000.00","30,000.00","30,000.00","30,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,625.00","5,750.00","2,750.00",0.00,"1,875.00","3,000.00","4,875.00",0.00,"3,375.00",0.00,875.00,750.00,625.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,05.509,Cost Estimating Consultants,"8,000.00","8,000.00","8,000.00","8,000.00","8,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
