Project Code,Gross Sq Footage,Assignable Sq Footage,CCI,Status
W5533,2300000.00,,,Hold
5018,99812.00,57630.00,,Hold
5576,1262.00,1262.00,,Feasibility
5171,251000.00,175300.00,8314.00,Close-Out
5514,,,9405.00,Close-Out
5249,16400.00,16400.00,8355.00,Close-Out
5537,36125.00,,10079.00,Close-Out
5058,1441000.00,644000.00,6461.00,Close-Out
5454,2686.00,2534.00,10166.00,Close-Out
5149,71365.00,45000.00,7119.00,Close-Out
5527,,,9081.00,Close-Out
5570,3100.00,,10257.00,Close-Out
5265,580500.00,,8453.00,Close-Out
5495,7770.00,,8334.00,Close-Out
5459,41103.00,32024.00,8327.00,Close-Out
5372,134000.00,67000.00,8319.00,Close-Out
5199,7500.00,,,Close-Out
5301,100000.00,60000.00,9119.00,Close-Out
5540,904.00,904.00,9110.00,Close-Out
5266,49345.00,6947.00,,Close-Out
5493,4000.00,4000.00,9574.00,Close-Out
5482,,,9500.00,Close-Out
5483,17200.00,17200.00,9839.00,Close-Out
5531,,10182.00,,Close-Out
5659,1400.00,1400.00,,Close-Out
5254,1432052.00,1165285.00,7456.00,Close-Out
5511,933535.00,,9296.00,Close-Out
5088,187000.00,127600.00,7213.00,Close-Out
5456,9000.00,8484.00,10166.00,Close-Out
5253,,,7215.00,Close-Out
5282,,,6616.00,Close-Out
5529,925.00,925.00,,Active
5566,2303.00,2303.00,10121.00,Active
W5678,2300000.00,,,Active
5728,650.00,,,Active
5558,3800.00,8728.00,,Active
5583,5711.00,6000.00,10425.00,Active
5148,394859.00,285000.00,9203.00,Active
5636,24955.00,20061.00,10211.00,Active
W5650,4357.00,,,Active
5734,51446.00,10246.00,,Active
5323,,,6768.00,Active
5551,837000.00,,10159.00,Active
5467,7100.00,,,Active
5548,,,10069.00,Active
5610,1600.00,,9874.00,Active
5530,958.00,958.00,10096.00,Active
5538,780.00,780.00,8765.00,Active
5595,150000.00,100000.00,10213.00,Active
5528,,,8355.00,Active
5490,,,9459.00,Active
5480,180523.00,,,Active
5597,12690.00,,10253.00,Active
5718,,,10238.00,Active
5486,,,9246.00,Active
5563,,409325.00,10312.00,Active
W5666,146000.00,,,Active
