Project Code,Gross Sq Footage
5004,14000
5018,99812
5046,10500
5058,1441000
5088,187000
5148,394859
5149,71365
5171,251000
5199,7500
5249,16400
5253,0
5254,1432052
5265,580500
5266,49345
5282,0
5301,100000
5323,0
5372,134000
5454,2686
5456,9000
5459,41103
5467,7100
5470,48105
5480,180523
5482,NA
5483,17200
5486,NA
5493,4000
5495,7770
5511,933535
5514,NA
5527,0
5528,NA
5529,925
5530,958
5531,0
5537,36125
5538,780
5540,904
5548,NA
5551,837000
5558,3800
5563,0
5566,2303
5570,3100
5576,1262
5583,5711
5595,150000
5597,12690
5610,1600
5636,24955
5652,2029
5659,1400
5713,18000
5718,NA
5728,650
5734,51446
C3471A,4700
C3509,78343
C3525,9858
C3579,435600
C3611,4746
C3619,85500
C3624,6609
C3638,24500
C3652,333451
C3665,81930
C3689,550174
C3712,165812
C3724,83333
C3737,11400
C3808,138250
C3874,2300
C3953,81776
C3968,5006
C3993,2152
C3994,1654
C4036,98515
C4116,14684
C4117,13900
C4149,1700
C4153,617232
C4159,8400
C4201,266747
C4215,172904
C4217,100000
C4218,20186
C4218A,27905
C4219,219287
C4220,5316
C4256,229651
C4315,470200
C4325,40000
C4345,61251
C4346,15000
C4411,40518
C4419,75000
C4456,80740
C4461,5457
C4466,345000
C4468,10900
C4487,12390
C4498,58900
C4524,6700
C4537,19840
C4538,39000
C4549,3500
C4556,20000
C4561,6817
C4566,1450
C4613,32300
C4620,1530
C4624,1737
C4627,173016
C4642,10607
C4650,14000
C4654,2000
C4659,5796
C4699,10000
C4708,9053
C4722,58000
C4723,52378
C4728,1880
C4762,10832
C4766,12441
C4768,74836
C4811,2950
C4812,1400
C4825,1820
C4863,9723
C4873,1500
C4882,12861
C4890,6277
C4891,7200
C4892,3942
C4911,1600
C4930,5400
C4947,9129
C4958,9600
C4960,16002
C4962,3500
C4963,1800
C4981,11703
C4993,99812
C5005,3025
C5020,12300
C5022,23000
C5023,99812
C5032,99812
C5052,1410
C5054,89000
C5057,85484
C5066,2200
C5074,24000
C5081,173016
C5085,24786
C5094,1875
C5098,4795
C5110,9524
C5121,1610
C5123,9932
C5126,1600
C5129,80488
C5130,2665
C5132,11703
C5139,3600
C5146,365697
C5147,1948
C5152,66000
C5160,9800
C5166,1670
C5174,1800
C5176,3530
C5182,24405
C5185,66000
C5195,20008
C5197,2800
C5211,46089
C5223,3081
C5230,203000
C5241,8000
C5250,15066
C5251,4600
C5287,15320
C5291,25550
C5303,2560
C5310,6219
C5318,40000
C5327,13500
C5329,2950
C5344,13700
C5351,18300
C5395,15517
C5403,100690
C5409,7300
C5420,9300
C5443,1900
C5484,416509
C5522,3802
C5556,30870
C5561,1500
C5585,1000000
C5589,4491
C5611,1700
C5658,7300
CW4659,4084
CW5070,200000
CW5083,38187
CW5134,7000
CW5153,66000
CW5177,6370
CW5202,17500
CW5383,198175
CW5418,2277
CW5427,6422
CW5428,18844
CW5429,4161
CW5430,5856
CW5488,4532
CW5507,12415
CW5518,65700
CW5519,29400
CW5523,6650
CW5547,1664
CW5580,3150
CW5584,4964
CW5612,2500
CW5613,4167
CW5619,5619
CW5626,18491
CW5630,1656
CW5657,4381
CW5667,1466
W4804,1985
W5533,2300000
W5650,4357
W5666,146000
W5678,2300000
