 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21
,0,Site Clearance of Hazardous or Obstructing Existing Conditions Prior to Prime Contract,"2,088.00","2,601.00","2,601.00","2,601.00","2,601.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500.00",0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0
 ,0.001,Environmental Site Conditions,588,"1,101.00","1,101.00","1,101.00","1,101.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0
 ,0.008,Removal and Disposal of Contaminated Soils,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,Building Construction & Site Cost Inside Five Feet of Building Perimeter,"94,261,880.25","94,089,001.28","94,262,330.25","94,087,284.23","94,087,284.23",0,0,0,290.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"82,500.00",0,"67,500.00",0,"33,500.00","66,500.00",0,0,783.6,"1,782,709.97","3,645,567.10","3,461,610.90","4,645,328.97","3,559,350.00","2,076,728.13","3,363,584.75","3,547,461.00","3,424,135.00","3,230,469.19","4,140,494.07","5,856,716.00","5,250,382.00","6,505,737.00","5,365,102.00","5,689,383.93","4,612,515.44","4,129,858.00","3,585,083.72","4,196,906.09",849.5,"4,924,100.00","999,153.91","4,304.06","1,521,895.51","460,244.24","265,000.00","17,386.50","2,999,740.71","43,477.89","376,144.24","-30,337.26","19,652.42","10,648.92",0,"26,221.71","2,501.98","3,509.27",-131.25,"1,142.84",0,"48,880.00",877.04,385.39,400.2,"8,598.29",0,"61,470.00",0,0,95.72,450,326.37,0,98.43,0,0,0,0,0,0
 ,1.101,Prime General Contractor (Less Code 2 and 4 Costs),"83,543,995.00","83,544,445.00","83,544,445.00","83,544,445.00","83,544,445.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"82,500.00",0,"67,500.00",0,"33,500.00","66,500.00",0,0,0,"1,781,138.00","3,645,567.10","3,461,610.90","4,638,961.00","2,250,432.00","2,068,543.00","3,361,957.00","3,547,461.00","3,424,135.00","3,225,006.00","4,140,130.00","5,856,716.00","5,250,382.00","6,505,737.00","5,365,102.00","5,688,657.00","4,578,340.00","4,042,582.00","3,561,225.00","4,196,542.00",0,"2,684,723.00",0,0,0,0,0,0,0,0,0,0,"19,048.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0
 ,1.103,Approved Change Orders,"8,545,008.00","8,545,008.00","8,545,008.00","8,545,008.00","8,545,008.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,239,377.00","995,229.00",0,"1,520,175.00","200,128.00","265,000.00",0,"2,956,324.00",0,"368,775.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.107,Other Building/Specialty Contractors (Not Under Prime),"80,000.00","53,520.00","80,000.00","53,520.00","53,520.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"48,880.00",0,0,0,"4,640.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.108,Facilites Management/Engineering Work Orders,"172,866.69","161,019.72","172,866.69","159,302.67","159,302.67",0,0,0,290.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783.6,"1,571.97",0,0,"6,367.97",0,"8,185.13","1,627.75",0,0,"5,463.19",364.07,0,0,0,0,726.93,"34,175.44",0,"23,858.72",364.09,849.5,0,"3,924.91","4,093.13","1,720.51","3,910.70",0,"11,833.26","1,599.11","3,227.14","7,369.24","8,732.24",604.42,"10,648.92",0,"3,845.71","2,501.98","3,509.27",-131.25,"1,142.84",0,0,877.04,385.39,400.2,"3,958.29",0,0,0,0,95.72,0,326.37,0,98.43,0,0,0,0,0,0
 ,1.109,Telecommunications (ACT),"272,385.72","272,385.72","272,385.72","272,385.72","272,385.72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"232,134.97",0,0,"39,069.50","40,250.75",0,"-39,069.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.111,"Lock Keying, FM Lock Shop Work Orders","4,224.60","4,224.60","4,224.60","4,224.60","4,224.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.93,0,"1,265.57",0,0,"2,748.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
