 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct
,1,Building Construction & Site Cost Inside Five Feet of Building Perimeter,"36,705,411.20","36,705,411.20","36,705,411.20","36,705,411.20","36,705,411.20",0,0,0,0,0,0,0,0,0,50.88,0,0,0,"517,500.00","150,184.00",0,"587,500.00","385,000.00","165,000.00",0,0,0,"330,000.00",0,"3,151,690.00",124.75,"2,325,529.50","1,257,651.50","2,058,560.00","2,060,181.50","2,841,876.97","2,376,993.50",0,"7,267,326.84","2,576,106.89","1,621,019.52","2,239,593.61","2,141,024.62","873,773.62",0,"1,205,597.31","4,066.55","110,302.65","14,656.23","14,506.05","348,045.25","6,040.71","2,214.25","7,183.75",598,"2,826.00",486.75,"13,194.25",521.75,339.75,236.25,635,"3,335.50",375.5,303.5,"6,170.00",0,0,"13,365.00",0,"23,723.50",0,0,0,0,0,0,0,0,0,0
 ,1.101,Prime General Contractor (Less Code 2 and 4 Costs),"35,881,069.00","35,881,069.00","35,881,069.00","35,881,069.00","35,881,069.00",0,0,0,0,0,0,0,0,0,0,0,0,0,"517,500.00","150,000.00",0,"587,500.00","385,000.00","165,000.00",0,0,0,"330,000.00",0,"2,633,448.00",0,"2,325,529.50","1,257,651.50","2,058,560.00","2,060,181.50","2,841,764.50","2,376,993.50",0,"7,266,943.69","2,573,334.42","1,579,052.84","2,239,593.61","2,136,418.91","873,773.62",0,"1,189,613.41",0,0,0,0,"333,210.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.107,Other Building/Specialty Contractors (Not Under Prime),"4,066.55","4,066.55","4,066.55","4,066.55","4,066.55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,066.55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.108,Facilites Management/Engineering Work Orders,"191,265.70","191,265.70","191,265.70","191,265.70","191,265.70",0,0,0,0,0,0,0,0,0,50.88,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,124.75,0,0,0,0,112.47,0,0,383.15,0,878.46,0,"4,055.46",0,0,"4,244.12",0,"110,302.65",0,"14,506.05","14,835.25","3,070.71","2,214.25","7,183.75",598,"2,826.00",486.75,"13,194.25",521.75,339.75,236.25,635,"3,335.50",375.5,303.5,"6,170.00",0,0,0,0,97.5,0,0,0,0,0,0,0,0,0,0
 ,1.109,Telecommunications (ACT),"68,531.18","68,531.18","68,531.18","68,531.18","68,531.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,772.47","41,088.22",0,0,0,0,"10,014.26",0,0,"14,656.23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.111,"Lock Keying, FM Lock Shop Work Orders","2,275.77","2,275.77","2,275.77","2,275.77","2,275.77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.25,0,0,"1,725.52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.112,Builders Risk Insurance,"30,839.00","30,839.00","30,839.00","30,839.00","30,839.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,504.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,970.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,365.00",0,0,0,0,0,0,0,0,0,0,0,0
 ,1.116,University Controlled Insurance Program (UCIP),"527,364.00","527,364.00","527,364.00","527,364.00","527,364.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"503,738.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,626.00",0,0,0,0,0,0,0,0,0,0
,2,"Exterior Utility Work, Outside Five Feet of Building Perimeter",880,880,880,880,880,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,2.201,Other Site Utility/Specialty Contractors NOT Under Prime,880,880,880,880,880,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
