 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct
,0,Site Clearance of Hazardous or Obstructing Existing Conditions Prior to Prime Contract,"99,736.00","99,736.00","99,736.00","99,736.00","99,736.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,973.60","64,828.40",0,"24,934.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0.002,"Removal and Disposal of Haz Mat (e,g, Asbestos, Lead, PCB's)","99,736.00","99,736.00","99,736.00","99,736.00","99,736.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,973.60","64,828.40",0,"24,934.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,Building Construction & Site Cost Inside Five Feet of Building Perimeter,"152,881,944.04","152,881,944.04","152,881,944.04","152,881,944.04","152,881,944.04",0,0,0,0,0,0,0,0,0,0,0,"1,200,000.00","600,000.00","600,000.00","600,000.00","6,649,563.00",0,"183,225.00","1,450,537.00","809,315.00","253,124.00","1,907,434.00","3,936,258.00","1,475,025.03","2,869,572.00","6,717,048.00","6,547,767.00","6,760,454.58","6,774,467.00","9,058,949.00","10,625,672.00","10,572,883.00","15,674,421.39","14,890,025.00","7,452,129.97","7,783,824.00","6,899,122.63","5,141,059.95","4,113,002.01","5,222,576.53",584.34,"1,433,906.28","1,486,680.06","1,139,436.04","466,863.87","1,242,920.44","1,131,790.15","559,727.87","1,856.01","5,922.09","-4,564.08","-1,515,272.79",877.92,0,0,201.75,0,0,0,0,0,"163,559.00",0,0,0,0,0,0
 ,1.101,Prime General Contractor (Less Code 2 and 4 Costs),"151,932,731.00","151,932,731.00","151,932,731.00","151,932,731.00","151,932,731.00",0,0,0,0,0,0,0,0,0,0,0,"1,200,000.00","600,000.00","600,000.00","600,000.00","6,649,563.00",0,"183,225.00","1,450,537.00","645,194.00","253,124.00",0,"3,936,258.00","1,474,211.00","2,869,572.00","6,717,048.00","6,547,767.00","6,758,880.00","6,774,467.00","9,058,949.00","10,625,672.00","10,572,883.00","15,674,194.00","14,890,025.00","7,332,204.00","7,783,824.00","6,898,068.00","5,140,941.00","4,113,002.00","5,214,158.00",0,"1,433,169.00","1,486,568.00","1,136,519.00","456,628.00","1,241,977.00","1,058,424.00","555,680.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.107,Other Building/Specialty Contractors (Not Under Prime),"16,112.63","16,112.63","16,112.63","16,112.63","16,112.63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,005.20",0,0,0,0,"9,007.80",0,0,0,0,0,0,"1,099.63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.108,Facilites Management/Engineering Work Orders,"19,385.63","19,385.63","19,385.63","19,385.63","19,385.63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,574.58",0,0,0,0,227.39,0,679.97,0,0,118.95,0.01,"2,413.33",584.34,655.75,112.06,"2,020.50","1,228.07","1,555.68","2,590.45","1,887.17","1,488.08","5,922.09","-4,564.08",13.37,877.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.109,Telecommunications (ACT),"97,830.43","97,830.43","97,830.43","97,830.43","97,830.43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70,181.47",0,0,0,0,"27,447.21",0,0,0,201.75,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.111,"Lock Keying, FM Lock Shop Work Orders","4,543.32","4,543.32","4,543.32","4,543.32","4,543.32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,054.63",0,0,0,0,81.53,0,896.54,0,-612.24,594.23,"2,160.70",367.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.112,Builders Risk Insurance,"144,091.00","144,091.00","144,091.00","144,091.00","144,091.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"164,121.00",0,"-164,121.00",0,0,0,0,0,0,0,0,0,0,0,0,"119,246.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,845.00",0,0,0,0,0,0
 ,1.116,University Controlled Insurance Program (UCIP),"2,210,269.00","2,210,269.00","2,210,269.00","2,210,269.00","2,210,269.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,071,555.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"138,714.00",0,0,0,0,0,0
 ,1.119,"Utility Shutdowns, Temporary Utility Services and Facilities",814.03,814.03,814.03,814.03,814.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.199,Other Building Construction,"-1,543,833.00","-1,543,833.00","-1,543,833.00","-1,543,833.00","-1,543,833.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,543,833.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,"Group 2 & 3 Furnishings & Equipment, Owner Furnished Owner Installed (OFOI)","300,000.00","300,000.00","300,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,3.301,Moveable Equipment & Furnishings,"300,000.00","300,000.00","300,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,"Site Development, Outside Five Feet of Building Perimeter","1,706,719.10","1,706,719.10","1,706,719.10","1,706,719.10","1,706,719.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,663.00","106,312.00","637,740.00","106,793.00","167,701.00",0,"14,403.00","23,547.00",0,0,"47,935.50",347.03,0,"249,840.21","214,900.03","51,171.07","3,913.00","30,368.01","9,822.00","10,432.01","12,885.21","9,946.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,4.405,"Prime General Contractor, Other Site Development Component","1,540,000.00","1,540,000.00","1,540,000.00","1,540,000.00","1,540,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,663.00","106,312.00","637,740.00","106,793.00","167,701.00",0,"14,403.00","23,547.00",0,0,"47,513.00",0,0,"248,484.00","159,619.00","5,490.00","3,913.00",0,"9,822.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,4.407,Environmental Site Mitigation,"166,719.10","166,719.10","166,719.10","166,719.10","166,719.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.5,347.03,0,"1,356.21","55,281.03","45,681.07",0,"30,368.01",0,"10,432.01","12,885.21","9,946.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,External Design Consultant Fees,"792,309.15","792,309.15","792,309.15","792,309.15","792,309.15",0,0,"25,000.00","33,384.00","23,760.00","15,846.00","5,000.00","16,800.00","17,955.00","25,000.00",0,0,0,"2,045.00","2,185.00","7,800.00",875,"9,525.00","9,000.00","15,500.00","15,600.00","6,000.00","100,475.00",0,"8,725.00","9,610.00","36,320.00","7,450.00",700,"29,260.00","25,000.00","17,000.00","21,535.00","10,000.00","20,700.00","25,000.00","42,049.15","26,130.00","42,475.00","29,960.00","20,000.00","23,085.00",0,"55,000.00","9,960.00",0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.506,Project Management Consultants,"568,464.15","568,464.15","568,464.15","568,464.15","568,464.15",0,0,"25,000.00","30,000.00","23,000.00","15,000.00","5,000.00",0,"17,955.00","25,000.00",0,0,0,"2,045.00","2,185.00","1,400.00",875,"9,525.00","9,000.00","9,000.00","9,000.00","6,000.00","8,800.00",0,"8,725.00","9,610.00","7,500.00","7,450.00",700,"24,300.00","20,000.00","17,000.00","16,575.00","10,000.00","20,700.00","25,000.00","25,989.15","26,130.00","40,000.00","25,000.00","20,000.00","5,000.00",0,"55,000.00","5,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.507,Construction Management and/or Scheduling Consultants,"54,710.00","54,710.00","54,710.00","54,710.00","54,710.00",0,0,0,"3,384.00",760,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,500.00",0,0,0,"6,460.00",0,0,"4,960.00",0,0,"4,960.00",0,0,0,"4,960.00",0,0,"4,960.00",0,"4,960.00",0,0,"4,960.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.508,Building Code/Plan Review and Fire/Life Safety Consultant,"152,335.00","152,335.00","152,335.00","152,335.00","152,335.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,400.00",0,0,0,"6,500.00","6,600.00",0,"78,175.00",0,0,0,"22,360.00",0,0,0,"5,000.00",0,0,0,0,0,"11,100.00",0,"2,475.00",0,0,"13,125.00",0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.509,Cost Estimating Consultants,"16,800.00","16,800.00","16,800.00","16,800.00","16,800.00",0,0,0,0,0,0,0,"16,800.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,Internal FD&C Recharge Services,"2,520,000.00","2,314,417.15","2,520,000.00","2,314,417.15","2,314,633.15",0,"10,209.50","22,009.00","21,429.00","41,235.25","74,042.00",0,"47,844.00","71,768.00",0,"28,532.00","20,309.00","20,817.00","22,994.00","39,212.50",0,"24,520.90","20,200.00","40,698.75","29,112.50","42,502.50","44,625.00","83,177.50","59,130.00",0,"82,662.50","66,450.00","64,902.50","43,867.50","72,103.50","60,301.25","130,403.50",0,"72,700.00","58,556.00","77,269.00","54,658.25","69,175.25","57,382.50","66,634.00","52,684.25","46,822.50","41,847.50","49,417.50","58,907.50","56,391.00","53,421.75","38,420.25","47,677.50","37,002.00","22,621.75","23,890.00","18,504.50","19,386.50","2,160.00",864,"1,426.00",216,210,288,32.5,65,65,130,0,0,532,216
 ,6.601,FD&C Project Administration,"370,000.00","326,381.00","370,000.00","326,381.00","326,381.00",0,824,516,684,"2,232.00","9,120.00",0,"8,460.00","9,540.00",0,"4,500.00","1,620.00","2,880.00","3,480.00","6,420.00",0,"2,940.00","2,970.00","6,645.00","5,335.00","3,430.00","3,935.00","4,785.00","4,700.00",0,"3,125.00","3,475.00","4,350.00","4,830.00","4,192.50","5,460.00","17,035.00",0,"8,810.00","6,265.00","12,620.00","7,070.00","10,122.50","10,845.00","8,900.00","11,870.00","7,700.00","10,455.00","9,550.00","12,640.00","11,160.00","11,995.00","7,270.00","13,905.00","15,590.00","9,500.00","7,200.00","4,530.00",690,0,0,0,0,210,0,0,0,0,0,0,0,0,0
 ,6.602,FD&C Project Management,"895,000.00","795,007.75","895,000.00","795,007.75","795,007.75",0,"5,376.00","10,528.00","11,088.00","15,568.00","29,618.00",0,"19,175.00","24,426.00",0,"11,092.00","7,316.00","6,136.00","6,962.00","11,328.00",0,"5,192.00","3,437.50","8,031.25","5,562.50","13,875.00","14,875.00","23,187.50","17,750.00",0,"22,625.00","19,187.50","17,187.50","9,562.50","22,850.00","19,350.00","37,000.00",0,"17,580.00","19,820.00","24,362.50","12,317.50","20,100.00","19,430.00","22,080.00","21,570.00","21,402.50","16,365.00","22,337.50","29,395.00","27,896.00","26,448.00","16,166.50","23,050.00","14,637.00","10,130.50","3,942.50","9,997.00","12,554.00","2,160.00",864,"1,296.00",216,0,288,0,0,0,0,0,0,316,0
 ,6.603,FD&C Project Engineering/Mechanical/Electrical/Civil,"300,000.00","293,324.00","300,000.00","293,324.00","293,324.00",0,"2,544.00","4,174.00","4,386.00","13,630.00","16,285.00",0,"6,644.00","10,311.00",0,"4,744.00","6,207.00","7,470.00","6,228.00","13,848.00",0,"10,833.00","8,087.50","9,962.50","7,025.00","8,962.50","7,225.00","14,850.00","8,375.00",0,"15,937.50","9,712.50","10,575.00","7,600.00","9,312.50","7,187.50","13,740.00",0,"9,125.00","5,750.00","8,500.00","5,875.00","7,687.50","6,967.50","3,562.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,6.604,FD&C Contracts Office,"85,000.00","72,452.90","85,000.00","72,452.90","72,452.90",0,475.5,"2,171.00",725,"5,229.75","10,252.00",0,"8,690.00","14,530.00",0,"2,044.00","1,135.00",764,263,580,0,704.9,835,"3,520.00","1,050.00","1,615.00","2,685.00","2,270.00",825,0,"1,000.00",960,"1,915.00",515,335,45,783.5,0,141.75,"1,539.50",156.5,298.25,265.75,63,63,78.75,0,125,375,0,422.5,146.25,536.25,130,0,276.25,32.5,"1,202.50",682.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
