 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct
,0,Site Clearance of Hazardous or Obstructing Existing Conditions Prior to Prime Contract,"672,347.00","672,347.00","672,347.00","672,347.00","672,347.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"158,998.26","180,921.52","92,619.05",0,"177,601.39","58,738.78",0,0,0,0,"2,493.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0.002,"Removal and Disposal of Haz Mat (e,g, Asbestos, Lead, PCB's)","672,347.00","672,347.00","672,347.00","672,347.00","672,347.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"158,998.26","180,921.52","92,619.05",0,"177,601.39","58,738.78",0,0,0,0,"2,493.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,Building Construction & Site Cost Inside Five Feet of Building Perimeter,"224,375,204.01","224,085,191.61","224,375,204.01","224,014,813.10","224,014,813.10",0,0,0,0,0,0,0,0,"1,272,000.00","636,000.00","636,000.00","318,000.00","318,000.00","1,947,869.00","6,942,719.00","2,270,985.00",0,"5,654,824.18","16,580.95","8,564,360.07","3,283,998.00","3,943,672.39","5,127,829.47",0,"15,015,313.46","8,002,077.00","6,635,041.70","9,948,949.00","14,973,017.24","14,677,640.87","17,399,136.87","35,960,435.35",225.41,"12,789,455.23","14,854,353.53","7,547,867.24","8,641,378.75","2,830,902.28","2,893,485.13","3,367,310.55","6,818,389.91","8,199.14","215,367.59","445,005.87","10,386.00","24,539.00",0,"45,213.80","-67,950.13",196.86,"17,468.50","21,587.65",0,0,"6,981.24",0,0,0,0,0
 ,1.101,Prime General Contractor (Less Code 2 and 4 Costs),"220,431,088.00","220,431,088.00","220,431,088.00","220,431,088.00","220,431,088.00",0,0,0,0,0,0,0,0,"1,272,000.00","636,000.00","636,000.00","318,000.00","318,000.00","1,935,360.00","3,870,720.00","2,114,560.00",0,"5,653,178.00",0,"8,561,861.00","3,283,998.00","3,943,223.00","5,127,233.00",0,"15,014,717.00","8,002,077.00","6,633,432.00","9,948,949.00","14,970,643.00","14,675,376.00","17,398,391.00","35,941,029.00",0,"12,787,483.00","14,854,063.00","7,517,379.00","8,634,112.00","2,823,568.20","2,888,017.90","3,348,262.30","6,799,484.60",0,"197,393.00","302,039.00",0,"24,539.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.108,Facilites Management/Engineering Work Orders,"187,820.56","175,404.92","187,820.56","105,359.30","105,359.30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,646.18",0,"2,499.07",0,449.39,596.47,0,596.46,0,"1,609.70",0,"2,374.24","2,264.87",745.87,"19,406.35",225.41,"1,972.23",290.53,"7,855.24","4,998.75","7,334.08","5,467.23","9,976.25","7,565.31","8,199.14","17,974.59","13,299.76","10,386.00",0,0,"45,213.80","-67,950.13",196.86,0,165.65,0,0,0,0,0,0,0,0
 ,1.109,Telecommunications (ACT),"146,580.95","146,580.95","146,580.95","146,248.06","146,248.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,580.95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"129,667.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.111,"Lock Keying, FM Lock Shop Work Orders","2,500.00",0,"2,500.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.112,Builders Risk Insurance,"204,058.00","200,480.00","204,058.00","200,480.00","200,480.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"156,425.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,633.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,422.00",0,0,0,0,0,0,0,0
 ,1.114,"Security Alarms, Video Security, Security Manpower","64,648.50","47,129.74","64,648.50","47,129.74","47,129.74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,268.00",0,0,"9,072.00","11,340.00",0,0,0,0,0,0,0,0,0,"17,468.50",0,0,0,"6,981.24",0,0,0,0,0
 ,1.116,University Controlled Insurance Program (UCIP),"3,271,999.00","3,071,999.00","3,271,999.00","3,071,999.00","3,071,999.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,071,999.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.119,"Utility Shutdowns, Temporary Utility Services and Facilities","12,509.00","12,509.00","12,509.00","12,509.00","12,509.00",0,0,0,0,0,0,0,0,0,0,0,0,0,"12,509.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.199,Other Building Construction,"54,000.00",0,"54,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,"Group 2 & 3 Furnishings & Equipment, Owner Furnished Owner Installed (OFOI)","8,500,000.00","8,500,000.00","8,500,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,3.301,Moveable Equipment & Furnishings,"8,500,000.00","8,500,000.00","8,500,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,External Design Consultant Fees,"1,448,902.32","1,448,902.32","1,448,902.32","1,386,280.51","1,386,280.51",0,"41,358.00","75,382.00","66,963.32","85,746.00","29,774.00","-89,600.00","59,634.00","30,018.00","28,082.00","27,474.00","22,760.00","50,172.00","11,040.00","38,640.00","11,040.00","66,623.00",0,"80,000.00",0,0,"1,386.53","110,276.90","13,553.21",0,"19,556.00","1,977.00",0,"8,792.00","24,865.50","15,376.00","26,751.50",0,"83,875.80","52,935.00","57,481.00","61,963.50","22,663.00","68,971.00","33,916.25","81,533.50","62,067.00",0,0,0,"3,233.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.506,Project Management Consultants,"655,329.00","655,329.00","655,329.00","612,743.00","612,743.00",0,"41,358.00","67,792.00","65,262.00","61,686.00","29,774.00","-98,000.00","59,634.00","30,018.00","28,082.00","27,474.00","22,760.00","22,482.00","11,040.00","11,040.00","11,040.00","10,556.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,864.00","22,663.00","22,663.00","22,663.00","22,663.00","22,663.00",0,"45,326.00","33,240.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.507,Construction Management and/or Scheduling Consultants,"49,970.00","49,970.00","49,970.00","44,760.00","44,760.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,250.00",0,0,"3,750.00",0,0,"4,960.00",0,0,"4,960.00",0,0,"4,960.00",0,"4,960.00",0,0,0,"4,960.00","4,960.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.508,Building Code/Plan Review and Fire/Life Safety Consultant,"262,336.00","262,336.00","262,336.00","262,246.00","262,246.00",0,0,0,0,0,0,0,0,0,0,0,0,"27,690.00",0,"27,600.00",0,"56,067.00",0,"80,000.00",0,0,0,"64,689.00",0,0,"6,200.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.509,Cost Estimating Consultants,"42,000.00","42,000.00","42,000.00","40,050.00","40,050.00",0,0,"7,590.00",0,"24,060.00",0,"8,400.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.599,Other External Design Consultants,"439,267.32","439,267.32","439,267.32","426,481.51","426,481.51",0,0,0,"1,701.32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,386.53","34,337.90","13,553.21",0,"9,606.00","1,977.00",0,"3,832.00","24,865.50","15,376.00","21,791.50",0,"65,011.80","25,312.00","34,818.00","34,340.50",0,"46,308.00","33,916.25","31,247.50","23,867.00",0,0,0,"3,233.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,Internal FD&C Recharge Services,"2,480,000.00","2,136,020.05","2,485,659.75","2,136,020.05","2,141,108.05","11,028.00",0,"17,194.00","27,479.00","35,002.50","29,807.50","60,011.00",0,"41,588.80","20,997.50","32,372.50","20,630.00","26,962.50","35,200.00","58,755.00","27,935.00",0,"43,177.50","42,845.00","49,927.50","36,175.00","51,585.00","55,133.50","109,324.75",0,"63,780.75","50,004.25","70,660.75","63,377.50","69,306.00","67,278.75","77,105.00","76,832.00","62,810.00","58,811.25","54,742.50","54,837.50","53,891.25","44,862.50","29,203.75","52,400.00","88,868.50","78,086.50","31,509.75","48,509.75","45,301.75","13,964.00","9,590.00","6,203.50","5,625.00",0,"4,272.00","9,101.50","3,049.00","2,270.00","1,875.00",0,295,"4,463.50","5,088.00"
 ,6.601,FD&C Project Administration,"368,285.00","373,450.50","373,450.50","373,450.50","378,466.50",0,0,360,"3,180.00","6,870.00","6,240.00","11,340.00",0,"6,240.00","3,100.00","8,000.00","2,250.00","4,040.00","2,840.00","5,550.00",940,0,"2,730.00","2,710.00","3,235.00","3,060.00","4,035.00","5,405.00","17,395.00",0,"9,845.00","9,225.00","11,455.00","10,215.00","12,620.00","10,030.00","12,805.00","13,175.00","11,790.00","9,990.00","9,800.00","10,175.00","12,075.00","12,540.00","7,090.00","13,715.00","20,060.00","22,740.00","10,170.00","24,055.00","11,535.00","2,660.00",0,0,380,0,0,0,950,380,380,0,0,"4,075.50","5,016.00"
 ,6.602,FD&C Project Management,"600,000.00","532,119.00","600,000.00","532,119.00","532,119.00","5,192.00",0,"6,490.00","6,018.00","7,906.00","9,440.00","15,104.00",0,"9,912.00","7,375.00","9,250.00","7,875.00","8,625.00","10,875.00","15,250.00","8,250.00",0,"11,750.00","9,375.00","10,750.00","10,500.00","7,375.00","10,875.00","21,000.00",0,"14,312.50","10,500.00","17,687.50","17,187.50","17,500.00","14,687.50","17,250.00","22,273.00","15,132.50","16,520.00","11,892.50","14,492.50","12,420.00","9,320.00","5,312.50","8,315.00","18,453.50","20,451.50","8,291.00","11,151.00","17,348.00","6,624.00","5,040.00","2,736.00","1,800.00",0,"1,152.00","3,024.00",864,720,0,0,158,316,0
 ,6.603,FD&C Project Engineering/Mechanical/Electrical/Civil,"290,000.00","271,867.00","290,000.00","271,867.00","271,867.00","3,835.00",0,"6,254.00","11,163.00","10,243.00","4,626.00","13,382.00",0,"10,284.00","6,962.50","11,087.50","6,012.50","7,712.50","9,075.00","16,450.00","8,875.00",0,"12,562.50","14,200.00","15,212.50","8,625.00","13,157.50","14,742.50","20,940.00",0,"9,052.50","4,667.50","10,220.00","5,812.50","6,562.50","5,655.00","4,495.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,6.604,FD&C Contracts Office,"80,000.00","79,632.80","80,000.00","79,632.80","79,632.80",58,0,"2,495.00","5,001.00","5,825.50","6,558.50","13,383.00",0,"9,200.80","1,020.00",890,950,"3,475.00","3,295.00","3,170.00",150,0,225,"1,745.00","2,170.00",995,"1,280.00",30,879,0,956.75,"1,868.25",219.5,565,94.5,78.75,250,63,0,308.75,830,690,255,412.5,146.25,32.5,520,"1,260.00",130,"4,282.50","3,493.75",0,0,282.5,0,0,0,97.5,0,0,0,0,0,0,0
 ,6.605,FD&C IOR/Construction Inspection,"726,715.00","713,456.50","726,715.00","713,456.50","713,456.50",0,0,0,0,"2,360.00",826,944,0,"2,124.00",500,"1,000.00",812.5,"1,625.00","7,375.00","15,125.00","8,250.00",0,"14,125.00","13,375.00","16,250.00","11,375.00","23,375.00","21,750.00","45,000.00",0,"27,062.50","20,625.00","27,220.00","25,975.00","26,985.00","33,047.50","36,162.50","38,360.00","35,042.50","30,042.50","29,230.00","26,230.00","25,355.00","19,730.00","15,355.00","29,167.50","43,205.00","26,095.00","8,125.00","2,375.00","1,875.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
