 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun
,0,Site Clearance of Hazardous or Obstructing Existing Conditions Prior to Prime Contract,"70,834.00","70,834.00","70,834.00","70,834.00","70,834.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70,834.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0.008,Removal and Disposal of Contaminated Soils,"70,834.00","70,834.00","70,834.00","70,834.00","70,834.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70,834.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,Building Construction & Site Cost Inside Five Feet of Building Perimeter,"80,353.99","80,244.87","80,353.99","78,959.07","78,959.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,123.19",0,0,"3,175.04",0,0,"4,211.78","4,764.45","3,056.08",570.61,"10,029.25","2,682.62","8,248.41",526.61,0,"1,359.39","5,757.10",0,719,0,614.4,755.58,0,"1,482.17",0,0,73.82,676.34,"1,096.86",359.17,"4,485.66",412.53,"13,167.65",0,"3,043.29","5,792.00",0,0,0,0,776.07,0,0,0,0,0,0,0,0,0,0,0
 ,1.108,Facilites Management/Engineering Work Orders,"61,066.49","61,041.49","61,066.49","61,016.49","61,016.49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,123.19",0,0,"3,175.04",0,0,"4,211.78","4,764.45","3,056.08",570.61,"10,029.25","1,966.74",328.41,526.61,0,302.89,"5,757.10",0,0,0,614.4,755.58,0,"1,482.17",0,0,73.82,196.86,"1,096.86",359.17,"4,485.66",412.53,"11,907.93",0,"3,043.29",0,0,0,0,0,776.07,0,0,0,0,0,0,0,0,0,0,0
 ,1.109,Telecommunications (ACT),"3,800.00","3,715.88","3,800.00","2,455.08","2,455.08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.48,0,0,0,0,"1,259.72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.112,Builders Risk Insurance,"7,920.00","7,920.00","7,920.00","7,920.00","7,920.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,920.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.114,"Security Alarms, Video Security, Security Manpower","7,567.50","7,567.50","7,567.50","7,567.50","7,567.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,056.50",0,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,792.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,"Exterior Utility Work, Outside Five Feet of Building Perimeter","21,518.00","21,518.00","21,518.00","16,150.00","16,150.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,225.00","1,925.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,000.00",0
 ,2.299,Other Exterior Utilities,"21,518.00","21,518.00","21,518.00","16,150.00","16,150.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,225.00","1,925.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,000.00",0
,4,"Site Development, Outside Five Feet of Building Perimeter","17,328,469.00","17,326,430.00","17,328,469.00","17,303,469.00","17,303,469.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"546,303.00",0,"3,685,457.41","737,733.11","238,530.27","176,761.00","105,390.71","248,700.44","46,675.08","509,913.12","465,434.84","458,581.33","348,389.94","179,934.39","15,808.00","107,642.26","87,979.47","197,065.49","580,660.33","581,870.43","789,233.91","1,272,168.96","949,282.99","1,037,137.33","1,234,172.89","625,086.08","330,994.85",0,"104,339.26","254,015.65","165,044.78",0,"290,785.70","348,421.34","495,145.80","26,983.92",0,"61,824.92",0,0,0,0,0,0,0
